pc_timestamp,stm32_ms,adc_raw,adc_voltage_v,sensor_voltage_v,pressure_bar,duty_percent,frequency_hz,estimated_output_rms_v,jsy_online,jsy_voltage_rms_v,jsy_current_rms_a,jsy_voltage_raw_v,jsy_current_raw_a,jsy_active_power_w,jsy_power_factor,jsy_energy_kwh,jsy_error_count,nn_mode,nn_duty_percent,valve_open_count,valve_state_label,valve_phase,setpoint_bar,episode_id,is_decision,t_rel,error
2026-07-02T01:40:57.359,2793612,511,0.4155333333333333,0.6102666666666666,0.3302,83.15,5000,182.93,1,179.26,0.715,181.82,0.791,142,0.987,0.07,2113,1,83.15,3,3 keran stabil,stable,0.3,1,0,71.108,-0.030200000000000005
2026-07-02T01:40:57.857,2794147,524,0.4161999999999999,0.6099333333333333,0.3289333333333333,83.15,5000,182.93,1,179.26,0.715,181.82,0.791,142,0.987,0.07,2113,1,83.15,3,3 keran stabil,stable,0.3,1,0,71.606,-0.02893333333333331
2026-07-02T01:40:58.356,2794617,505,0.4149333333333333,0.6094666666666666,0.328,83.15,5000,182.93,1,179.23,0.714,181.79,0.79,142,0.988,0.07,2113,1,83.15,3,3 keran stabil,stable,0.3,1,0,72.105,-0.028000000000000025
2026-07-02T01:40:58.855,2795152,519,0.415,0.6091333333333334,0.3269333333333333,82.38,5000,181.24,1,179.23,0.714,181.79,0.79,142,0.988,0.07,2113,1,82.38,3,3 keran stabil,stable,0.3,1,0,72.604,-0.02693333333333331
2026-07-02T01:40:59.357,2795621,509,0.4161333333333333,0.6089333333333333,0.3263999999999999,82.38,5000,181.24,1,179.24,0.715,181.8,0.791,142,0.987,0.07,2113,1,82.38,3,3 keran stabil,stable,0.3,1,0,73.106,-0.026399999999999924
2026-07-02T01:40:59.857,2796156,508,0.4140666666666666,0.6081333333333333,0.3242666666666666,82.38,5000,181.24,1,179.24,0.715,181.8,0.791,142,0.987,0.07,2113,1,82.38,3,3 keran stabil,stable,0.3,1,0,73.606,-0.024266666666666603
2026-07-02T01:41:00.358,2796626,509,0.4145333333333333,0.6076666666666667,0.323,82.38,5000,181.24,1,177.55,0.713,180.2,0.789,141,0.991,0.07,2113,1,82.38,3,3 keran stabil,stable,0.3,1,0,74.107,-0.02300000000000002
2026-07-02T01:41:00.859,2797161,513,0.4135999999999999,0.6078666666666667,0.3240666666666666,82.38,5000,181.24,1,177.55,0.713,180.2,0.789,141,0.991,0.07,2113,1,82.38,3,3 keran stabil,stable,0.3,1,0,74.608,-0.024066666666666625
2026-07-02T01:41:01.356,2797631,508,0.4146666666666666,0.6077999999999999,0.3237333333333333,82.38,5000,181.24,1,177.5,0.714,180.15,0.79,141,0.99,0.07,2113,1,82.38,3,3 keran stabil,stable,0.3,1,0,75.105,-0.02373333333333333
2026-07-02T01:41:01.859,2798166,514,0.4137333333333333,0.6070666666666666,0.3213333333333333,81.54,5000,179.38,1,177.5,0.714,180.15,0.79,141,0.99,0.07,2113,1,81.54,3,3 keran stabil,stable,0.3,1,0,75.608,-0.021333333333333315
2026-07-02T01:41:02.356,2798635,504,0.4132666666666666,0.6058666666666667,0.3174,81.54,5000,179.38,1,177.51,0.714,180.16,0.79,141,0.99,0.07,2113,1,81.54,3,3 keran stabil,stable,0.3,1,0,76.105,-0.017400000000000027
